| 原始标签 | 名称 | 描述 | 外部链接 |
| kuroudo | 藏人 | ![](https://ehgt.org/e9/f6/e9f669c7e1af68aed41e12562504acd6692abecb-329592-382-479-png_l.jpg) |  |
| mai | 舞 | ![](https://ehgt.org/02/26/0226a1d840aa4dcecd422510ca53c8aad2411367-41642-384-480-jpg_l.jpg) |  |
| meimei | 美莓 | ![](https://ehgt.org/08/48/08484374879a66e75c43c4ab219b9674595f4876-38199-240-300-gif_l.jpg) |  |
| minori | 美野里 | ![](https://ehgt.org/22/13/2213f193ac1fea2e07ca36f22814b171d39b50dd-288648-390-480-png_l.jpg) |  |
| mirai | 未来 | ![](https://ehgt.org/45/c5/45c595e0c451252b8b18579328d4c2d91d4688c0-36830-384-480-jpg_l.jpg) |  |
| misato | 深里 | ![](https://ehgt.org/b5/69/b56923c624ab02a111bb10f3672389a9e19f485c-47554-384-480-jpg_l.jpg) |  |
| miyabi | 雅绯 | ![](https://ehgt.org/1b/a0/1ba05af02c838b1b33b1ecf598c29dcb00baf9f6-69389-288-360-jpg_l.jpg) |  |
| motochika | 元亲 | ![](https://ehgt.org/b3/b3/b3b3ad79695ca5621fbeebf02d13cd087e7fc965-48961-320-400-jpg_l.jpg) |  |
| muramasa | 村正 | ![](https://ehgt.org/5b/aa/5baaeb09cbca025bed0ecbb3d6b626f58de79601-47484-384-480-jpg_l.jpg) |  |
| murasaki | 紫 | ![](https://ehgt.org/df/d9/dfd9507d79544bdfb8cb85e8ce1f5adacf5f0d6f-118976-206-257-png_l.jpg) |  |
| naraku | 奈乐 | ![奈乐](# "https://ehgt.org/12/1c/121c3b43d357b284004df683fe6750bebb1674ba-3110618-2117-3000-jpg_l.jpg") |  |
| ryoubi | 两备 | ![](https://ehgt.org/d2/c8/d2c8369d149a62f4baae520d64d36ff477ee99d8-300438-386-480-png_l.jpg) |  |
| ryouna | 两奈 | ![](https://ehgt.org/63/ce/63ce9ae29986ab92d2e0d011012a7ef3a553bb84-98332-288-360-jpg_l.jpg) |  |
| sakyou | 左京 | ![](https://ehgt.org/35/7c/357c4a3fd305858c1c236470015a29d26771bc0e-43185-384-480-jpg_l.jpg) |  |
| seimei | 清明 | ![](https://ehgt.org/3a/1e/3a1e8c88eb13212e2f06410b91db2e9ca663f754-37813-384-480-jpg_l.jpg) |  |
| siki | 四季 | ![](https://ehgt.org/70/b0/70b03c1e46e7a700992567ca7b3c2747dee56018-38869-384-480-jpg_l.jpg) |  |
| shiki | 四季 | ![](https://ehgt.org/70/b0/70b03c1e46e7a700992567ca7b3c2747dee56018-38869-384-480-jpg_l.jpg) |  |
| souji | 总司 | ![](https://ehgt.org/f4/03/f40375690734bc892d85170d921da33b7eb33cf7-60656-384-480-jpg_l.jpg) |  |
| suzune | 铃音（凛） | ![](https://ehgt.org/12/29/1229cc85ea601e0d136d0be4843948aead40e1d4-71118-384-480-jpg_l.jpg) |  |
| syuri | 朱璃 | ![](https://ehgt.org/d3/65/d365fef6585d875d536424926782b2f74d7d9d26-51428-384-480-jpg_l.jpg) |  |
| ukyou | 右京 | ![](https://ehgt.org/5e/f8/5ef80a4733e4af892a7a3bee8662ddf5f9004026-44378-384-480-jpg_l.jpg) |  |
| ushimaru | 牛丸 | ![](https://ehgt.org/b4/c0/b4c052d94635c37e1a6ac9aeb8e495dff4f61f8f-47167-384-480-jpg_l.jpg) |  |
| yagyuu | 柳生 | ![](https://ehgt.org/78/93/7893450856a723366a7fbded164ce04c3c207c20-39645-384-480-jpg_l.jpg) |  |
| yomi | 咏 | ![](https://ehgt.org/7f/d0/7fd06344abaefb41bbe89b750ce9962dddd73766-177168-384-480-jpg_l.jpg) |  |
| yoshimitsu | 吉光 | ![](https://ehgt.org/56/c0/56c03fe31f6ca8ba38a2474cc63a7ac6a7c51afc-76910-384-480-jpg_l.jpg) |  |
| yozakura | 夜樱 | ![](https://ehgt.org/5e/02/5e02e3fe6d3a9f4626d2020f3f4ec5037b0cd31e-59971-384-480-jpg_l.jpg) |  |
| yugiri | 夕雾 | ![](https://ehgt.org/72/45/7245bb744109e602315e9c9fd0fe6f99b3660b31-48159-168-210-jpg_l.jpg) |  |
| yumi | 雪泉 | ![](https://ehgt.org/67/d5/67d593cf612949acb2d8f79ca70eff5bac6ac89c-70055-384-480-jpg_l.jpg) |  |
| yuyaki | 夕烧 | ![](https://ehgt.org/8f/7b/8f7b6e8a8f461a32798d6b557a987eaf8c32105e-42862-384-480-jpg_l.jpg) |  |
|  | ▼ 小林家的龙女仆 角色 |  |  |
| tohru | 托尔 | ![托尔](https://ehgt.org/99/f2/99f2dd26b7dcb9077a8a0d6d76c4d5d23823c0a7-1655459-3214-4084-jpg_l.jpg) |  |
| kanna kamui | 康娜卡姆依 | ![康娜](https://ehgt.org/92/45/9245438047724c190da3fb17f94bf2351dae0916-505285-2000-3000-jpg_l.jpg) |  |
| quetzalcoatl | 魁札尔科亚特尔 | ![尔科亚](https://ehgt.org/6d/35/6d35999b7fc306bf083385b823709f0a116926ff-1239359-1240-1850-jpg_l.jpg) |  |
| kobayashi-san | 小林 | ![小林](https://ehgt.org/78/c8/78c831f1bdfe841cffac1f136fb58e1d9e496dfe-1490811-2180-3060-png_l.jpg) |  |
| shouta magatsuchi | 真土翔太 | ![真土翔太](# "https://ehgt.org/34/16/3416452f9b22d84967c08df972385721bf124c7d-677363-661-935-png_l.jpg") |  |
| riko saikawa | 才川莉子 |  |  |
| elma | 艾尔玛 |  |  |
|  | ▼ 星期一的丰满 角色 |  |  |
| ai-chan | 小爱 |  | [萌娘百科](https://zh.moegirl.org/小爱%28星期一的丰满%29) |
| kouhai-chan | 后辈 |  |  |
|  | ▼ 变态王子与不笑猫 角色 |  |  |
| azusa azuki | 小豆梓 |  |  |
| youto yokodera | 横寺阳人 |  |  |
| tsukiko tsutsukakushi | 筒隐月子 |  |  |
| tsukushi tsutsukakushi | 筒隐筑紫 |  |  |
| mai maimaki | 舞牧麻衣 |  |  |
| emanuella porlallora | 艾米（艾玛努艾勒·波鲁勒劳拉） |  |  |
|  | ▼ CLANNAD 角色 |  |  |
| tomoya okazaki | 冈崎朋也 |  |  |
| fuko ibuki | 伊吹风子 |  |  |
| kotomi ichinose | 一之濑琴美 |  |  |
| ryou fujibayashi | 藤林椋 |  |  |
| kyou fujibayashi | 藤林杏 |  |  |
| nagisa furukawa | 古河渚 |  |  |
| tomoyo sakagami | 坂上智代 |  |  |
| yukine miyazawa | 宫泽有纪宁 |  |  |
| mei sunohara | 春原芽衣 |  |  |
| youhei sunohara | 春原阳平 |  |  |
| misae sagara | 相乐美佐枝 |  |  |
| sanae furukawa | 古河早苗 |  |  |
|  | ▼ 未闻花名 角色 |  |  |
| meiko honma | 本间芽衣子 |  |  |
| naruko anjou | 安城鸣子 |  |  |
| chiriko tsurumi | 鹤见知利子 |  |  |
| jinta yadomi | 宿海仁太 |  |  |
| atsumu matsuyuki | 松雪集 |  |  |
|  | ▼ 粗点心战争 角色 |  |  |
| hotaru shidare | 枝垂萤 |  |  |
| kokonotsu shikada | 鹿田九 |  |  |
| saya endou | 远藤彩 |  |  |
| hajime owari | 尾张一 |  |  |
|  | ▼ NEW GAME! 角色 |  |  |
| aoba suzukaze | 凉风青叶 | ![凉风青叶](https://ehgt.org/3f/d3/3fd3cc3dd6e03d2f0064b88b80a5a18994b3ab7d-868428-2710-3920-jpg_l.jpg) |  |
| hifumi takimoto | 泷本日富美 | ![泷本日富美](https://ehgt.org/10/a5/10a5525d3b22c6517426408b912d1ebccda07e94-789731-2726-3911-jpg_l.jpg) |  |
| kou yagami | 八神光 | ![八神光](https://ehgt.org/89/d4/89d4065cf866e8d9f1c8b1af62b33307a9a2afa9-899427-2722-3920-jpg_l.jpg) |  |
| rin tooyama | 远山伦 | ![远山伦](https://ehgt.org/b6/d0/b6d08642d6e4e0f3c30a5dc0e05074b7f652978a-935759-2726-3920-jpg_l.jpg) |  |
| hajime shinoda | 篠田初 | ![篠田初](# "https://ehgt.org/ee/4e/ee4e99177812131745a90b7562dc0639cd710323-827430-1075-1522-jpg_l.jpg") |  |
| yun iijima | 饭岛结音 | ![饭岛结音](# "https://ehgt.org/c0/c8/c0c87235851c710194d4fd379cc32bb9301457ba-153915-1050-1492-jpg_l.jpg") |  |
| shizuku hazuki | 叶月雫 | ![叶月雫](https://ehgt.org/ae/8c/ae8c37b359b3dc54599ab002ec4d087b375ead3e-917307-2733-3917-jpg_l.jpg) |  |
| momiji mochizuki | 望月红叶 |  |  |
| nene sakura | 樱宁宁 |  |  |
| umiko ahagon | 阿波根海子 |  |  |
| yamato christina wako | 大和·克莉丝汀·和子 |  |  |
|  | ▼ 白箱 角色 |  |  |
| aoi miyamori | 宫森葵 | ![宫森葵](https://ehgt.org/09/7f/097fd5fac6a50f5a5c11d85324fae9ba0fa65b30-1033595-2871-4089-jpg_l.jpg) |  |
| ema yasuhara | 安原绘麻 | ![安原绘麻](https://ehgt.org/b2/76/b27655e9877933260c4bfc06cd6abbc64e409257-1125551-2519-3600-jpg_l.jpg) |  |
| midori imai | 今井绿 | ![今井绿](https://ehgt.org/6b/95/6b955cdde296173a139ed41ad909710e8bb6fdaa-1132368-2500-3600-jpg_l.jpg) |  |
| shizuka sakaki | 坂木静香 | ![坂木静香](https://ehgt.org/dd/04/dd04c6153a9486b891a972a6385651ee15f25819-1134912-2517-3600-jpg_l.jpg) |  |
| misa toudou | 藤堂美沙 | ![藤堂美沙](https://ehgt.org/84/3f/843ff87a0c00171ce96eaad056fe337bf50dfe38-525650-2853-4089-jpg_l.jpg) |  |
| misato segawa | 濑川美里 | ![濑川美里](https://ehgt.org/ca/f4/caf44f658143ea7205c989237fb46027890d6f0d-1361110-2492-3600-jpg_l.jpg) |  |
| erika yano | 矢野艾莉卡 | ![矢野艾莉卡](https://ehgt.org/80/ec/80ec1d77f1434d550a068ac5dfe7731d92be0fff-1355510-2500-3600-jpg_l.jpg) |  |
| rinko ogasawara | 小笠原纶子 | ![小笠原纶子](# "https://ehgt.org/53/1e/531e4d2515bacc159119d99b4f7473e2418befa9-293381-885-627-jpg_l.jpg") |  |
| yuka okitsu | 兴津由佳 | ![兴津由佳](# "https://ehgt.org/f7/89/f789c40d3b153f69e70488b7f695bcdff6517d1b-6566190-2123-3000-jpg_l.jpg") |  |
| shun watanabe | 渡边隼 | ![渡边隼](https://ehgt.org/48/46/4846302b6c3c067290eda59e11b77bb6c63a23e1-645360-1045-1500-jpg_l.jpg) |  |
| ai kunogi | 久乃木爱 | ![久乃木爱](# "https://ehgt.org/2d/0f/2d0f2df41fa0d462a73b08613a12c73afe1d50c3-567830-729-1032-jpg_l.jpg") |  |
| yumi iguchi | 井口祐未 | ![井口祐未](# "https://ehgt.org/1d/14/1d14637ea90723c279f9028b967bb667a1296b99-162812-390-800-jpg_l.jpg") |  |
|  | ▼ 少女编号 角色 |  |  |
| chitose karasuma | 乌丸千岁 | ![乌丸千岁](# "https://ehgt.org/36/c8/36c82f316ec5b8ecaa7b6def15b0c265247a936f-5271025-2125-3032-jpg_l.jpg") |  |
| momoka sono | 苑生百花 | ![苑生百花](# "https://ehgt.org/b2/48/b248457cc38e6aceb56d4cc9b73946e6ef61ab3b-132981-1050-1547-jpg_l.jpg") |  |
| yae kugayama | 久我山八重 | ![久我山八重](https://img.moegirl.org/common/b/be/Charatati_02.png) |  |
|  | ▼ 黄金拼图 角色 |  |  |
| alice cartelet | 爱丽丝·卡塔雷特 |  |  |
| aya komichi | 小路绫 |  |  |
| karen kujou | 九条可怜 |  |  |
| shinobu omiya | 大宫忍 |  |  |
| youko inokuma | 猪熊阳子 |  |  |
| sakura karasuma | 乌丸樱 |  |  |
| akari kuzehashi | 久世桥朱里 |  |  |
| honoka matsubara | 松原穗乃花 |  |  |
|  | ▼ 珈百璃的堕落 角色 |  |  |
| gabriel tenma white | 天真·珈百璃·怀特 | ![](https://ehgt.org/c3/d4/c3d41bf0f3b62cbaffdf2371e7ed6c40e03ba4e7-1832579-1280-720-png_l.jpg) |  |
| vignette tsukinose april | 月乃濑·薇奈特·艾普利尔 | ![](https://ehgt.org/01/0e/010ea606a24811b55416c16e7efafc77e2cd8a0f-510727-961-1243-jpg_l.jpg) |  |
| satanichia kurumizawa mcdowell | 胡桃泽·萨塔妮娅·麦克道威尔 | ![](https://ehgt.org/de/22/de22df04759f656c06fd9eeb02e049f0b4caf1c4-962546-1447-2039-jpg_l.jpg) |  |
| raphiel shiraha ainsworth | 白羽·菈菲尔·恩兹沃斯 | ![](https://ehgt.org/5c/aa/5caa1ccedde683dc88693d98406487928e7b9ade-2193124-1280-720-png_l.jpg) |  |
|  | ▼ Chobits 角色 |  |  |
| chii | 小叽（爱露达） | ![](https://ehgt.org/b0/4e/b04eb089c7775b41b41c31e1c29de43b4e689613-2618200-2551-3619-jpg_l.jpg) |  |
| yumi omura | 大村裕美 | ![](https://ehgt.org/04/e9/04e976a770d7e04ef6fc241692442074365c2a9d-195024-716-1023-jpg_l.jpg) |  |
| sumomo | 丝茉茉 | ![](# "https://ehgt.org/32/19/3219400991cf820fd682c054c8d63e5ba8f9801b-116505-710-1020-jpg_l.jpg") |  |
| chitose hibiya | 日比谷千岁 | ![](# "https://ehgt.org/02/00/02007737a23fd8dd6fc8799b598c7b4964c2c136-260717-777-1094-jpg_l.jpg") |  |
| hideki motosuwa | 本须和秀树 | ![](# "https://ehgt.org/81/63/8163a4f0dd2a2f9a3192c1db4f44aa63fb4c67d9-312624-777-1094-jpg_l.jpg") |  |
| yuzuki | 柚姬 | ![](# "https://ehgt.org/54/37/5437549c435148279048db465e1ee6716f3b1614-76540-560-400-jpg_l.jpg") |  |
| minoru kokubunji | 国分寺稔 | ![](# "https://ehgt.org/71/4c/714c093deaeeea96ceaf682fa98d60e5dbf7019d-155772-779-1104-jpg_l.jpg") |  |
| takako shimizu | 清水多香子 | ![](# "https://ehgt.org/5c/51/5c51f040faa962c1fd41632bb86ca29366b9e2ef-114752-777-1094-jpg_l.jpg") |  |
|  | ▼ 与奴隶的生活 -Teaching Feeling- 角色 |  |  |
| sylvie | 希尔薇 | ![](https://ehgt.org/f6/c1/f6c1f9496abd2fb24c4708552cb23444f267938c-1164819-1240-1754-jpg_l.jpg) |  |
|  | ▼ To Love-Ru 角色 |  |  |
| rito yuuki | 结城梨斗 | ![](https://ehgt.org/3a/4a/3a4a5f8353b91c15edbaf5abe8cf92384ff67ca3-1610639-2111-3000-jpg_l.jpg) |  |
| ryouko mikado | 御门凉子 | ![](https://ehgt.org/21/ec/21ec1799cfdf175f491c32fd6f10281cece0f20b-726815-1225-1772-jpg_l.jpg) |  |
| lala satalin deviluke | 菈菈·萨塔琳·戴比路克 | ![](https://ehgt.org/0c/ac/0cacc3552822e62f75e617cfe8d71c75de79f98e-2318079-2934-4220-jpg_l.jpg) |  |
| haruna sairenji | 西连寺春菜 | ![](https://ehgt.org/ae/63/ae638a65cc167fe192da593d9acbbee423352fae-1111253-2437-1750-jpg_l.jpg) |  |
| golden darkness | 金色暗影 | ![图](# "https://ehgt.org/5c/f5/5cf5b15ebf7002a3fd97d78ba3cbc593ae79f0dd-153834-1084-1530-jpg_l.jpg")![](https://ehgt.org/8f/b2/8fb2f253d90047fe66d8546bca7951f4f79ff33f-838294-2841-4101-jpg_l.jpg) |  |
| yui kotegawa | 古手川唯 | ![图](# "https://ehgt.org/5d/dd/5ddd03ad6ddcf266abdd88b6d1eef2f8f65aea54-173912-1084-1530-jpg_l.jpg")![](https://ehgt.org/0b/5e/0b5e9c4696b43f6aceae624ef6b75b29d2142035-631115-2840-4094-jpg_l.jpg) |  |
| mikan yuuki | 结城美柑 | ![图](# "https://ehgt.org/04/bd/04bdc7ebdbc7abffe18f76b22703fbaf5144d566-134823-1084-1530-jpg_l.jpg")![](https://ehgt.org/a7/79/a7797195a3e191f42d7cabb1a196cae5692da6f0-650692-1225-1748-jpg_l.jpg) |  |
| nemesis | 涅墨西斯 | ![](# "https://ehgt.org/99/1a/991a7a6f0af87c321228f28aa6d96175502f32a4-1647950-2117-3000-jpg_l.jpg") |  |
| saki tenjouin | 天条院沙姬 | ![](https://ehgt.org/e4/92/e492c172740f446cfa813ff48a8afb6c6401e59f-743197-1225-1783-jpg_l.jpg) |  |
| aya fujisaki | 藤崎绫 | ![](https://ehgt.org/59/4d/594d26d340580c102bb18bc8cf665c91b74bbb3c-802678-1225-1713-jpg_l.jpg) |  |
| rin kujou | 九条凛 | ![](https://ehgt.org/59/4d/594d26d340580c102bb18bc8cf665c91b74bbb3c-802678-1225-1713-jpg_l.jpg) |  |
| mea kurosaki | 黑咲芽亚 | ![图](# "https://ehgt.org/60/52/6052fa80e6b795e3949252f016938d3db27f32aa-126241-1084-1530-jpg_l.jpg")![](https://ehgt.org/0f/1a/0f1aa86e0b9a9eee00f29c9d4c46c6c738f00b78-584908-2842-4093-jpg_l.jpg) |  |
| nana asta deviluke | 娜娜·阿斯塔·戴比路克 | ![](https://ehgt.org/80/a4/80a4d4530005459811eb06c9c78fcb0bc7d37120-997681-2843-4098-jpg_l.jpg) |  |
| momo velia deviluke | 梦梦·贝莉雅·戴比路克 | ![图](# "https://ehgt.org/43/c8/43c8e93b7eebedfc9ad21cee77baf738e74791a7-124654-1084-1530-jpg_l.jpg")![图](https://ehgt.org/3a/33/3a3381f3514a5914dbb89eb4a50c67c89e6689d9-157645-1084-1530-jpg_l.jpg)![](https://ehgt.org/05/fb/05fb2e3fce0b7f6531eb3e70fc148a6deed59da9-553226-2839-4096-jpg_l.jpg) |  |
| riko yuusaki | 夕崎梨子 | ![](https://ehgt.org/61/4b/614b4a0530b8d055505917dfa3123576fe27ff59-159705-1020-1098-jpg_l.jpg) |  |
| sephie michaela deviluke | 赛菲·米卡埃拉·戴比路克 | ![](https://ehgt.org/aa/fd/aafdea5b0914bbe92878033ff2cc5c79c42e7a91-960909-2112-3000-jpg_l.jpg) |  |
| tearju lunatique | 提亚悠·鲁娜提克 | ![](# "https://ehgt.org/53/d9/53d9a959154986798ac11d0ea2c6b278409ec446-718950-1400-1981-jpg_l.jpg") |  |
| run elsie jewelria | 伦·艾尔西·裘利亚 | ![](https://ehgt.org/21/dc/21dc4dacbd66ea9054dd302f6bfa0194b6ee1af4-892085-2527-1750-jpg_l.jpg) |  |
| risa momioka | 籾冈里纱 | ![](https://ehgt.org/94/d4/94d40572fa50c02af5c305e4a8b8c9975180ea29-758400-2542-1750-jpg_l.jpg) |  |
| mio sawada | 泽田未央 | ![](https://ehgt.org/94/d4/94d40572fa50c02af5c305e4a8b8c9975180ea29-758400-2542-1750-jpg_l.jpg) |  |
| oshizu murasame | 村雨静 | ![](https://ehgt.org/42/35/423548294facb63485db072b24ba4a272fe8505b-578867-1550-2246-jpg_l.jpg) |  |
| kyouko kirisaki | 雾崎恭子 | ![](https://ehgt.org/2f/94/2f94ff605f0928e27dbaa85cd7e5a8fed35f43d8-1039336-2443-1750-jpg_l.jpg) |  |
| kenichi saruyama | 猿山健一 |  |  |
| shizu murasame | 村雨静 |  |  |
|  | ▼ 食戟之灵 角色 |  |  |
| erina nakiri | 薙切绘理奈 |  |  |
| alice nakiri | 薙切爱丽丝 |  |  |
| azami nakiri | 薙切蓟 |  |  |
| ikumi mito | 水户郁魅 |  |  |
| megumi tadokoro | 田所惠 |  |  |
| fuyumi mizuhara | 水原冬美 |  |  |
| souma yukihira | 幸平创真 |  |  |
| takumi aldini | 巧·阿尔迪尼 |  |  |
| isami aldini | 勇·阿尔迪尼 |  |  |
| hisako arato | 新户绯沙子 |  |  |
| ryou kurokiba | 黑木场凉 |  |  |
| satoshi isshiki | 一色慧 |  |  |
| ryouko sakaki | 榊凉子 |  |  |
| rindou kobayashi | 小林龙胆 |  |  |
|  | ▼ 埃罗芒阿老师 角色 |  |  |
| sagiri izumi | 和泉纱雾 |  |  |
| elf yamada | 山田妖精（艾蜜莉·格兰杰） | Emily Granger，来自BD小册子的最新情报<br>![图](# "https://ehgt.org/84/fa/84fa56d2a5f0df7404a77dc41257dd96f2c849d3-915662-1050-1496-jpg_l.jpg")![图](# "https://ehgt.org/14/02/140250e6dbe67adec49f63cc530cecc10c7294bb-2503726-1376-2000-png_l.jpg")![图](# "https://ehgt.org/5b/a8/5ba83f746ae6605912a64ce83ae82146de6ad925-997353-2319-3300-jpg_l.jpg")![图](# "https://ehgt.org/4f/b5/4fb54122567bb1fb567a14e17508cd80be31d3af-4996559-2536-3580-jpg_l.jpg")![图](# "https://ehgt.org/40/b1/40b1cbeb856fb4f98aca11f8f0ea532132535a6b-307092-1280-1810-jpg_l.jpg") |  |
| masamune izumi | 和泉正宗 |  |  |
| megumi jinno | 神野惠 |  |  |
| muramasa senju | 千寿村征（梅园花） |  |  |
| tomoe takasago | 高砂智惠 |  |  |
|  | ▼ 超级索尼子 角色 |  |  |
| super sonico | 超级索尼子 |  |  |
| super pochaco | 超级帕恰子 |  |  |
| super taruco | 超级桶桶子 |  |  |
|  | ▼ 亲吻姐姐 角色 |  |  |
| ako suminoe | 住之江亚香 |  |  |
| riko suminoe | 住之江理香 |  |  |
| keita suminoe | 住之江圭太 |  |  |
| miharu mikuni | 三国美春 |  |  |
|  | ▼ kill me baby 角色 |  |  |
| agiri goshiki | 吴织亚切 |  |  |
| sonya | 索妮娅 |  |  |
| yasuna oribe | 折部安奈 |  |  |
| kyara botsu | 无名子 |  |  |
|  | ▼ 侵略！乌贼娘 角色 |  |  |
| ika musume | 乌贼娘 |  |  |
| ayumi tokita | 常田鲇美 |  |  |
| chizuru aizawa | 相泽千鹤 |  |  |
| cindy campbell | 辛迪·坎贝尔 |  |  |
| eiko aizawa | 相泽荣子 |  |  |
| sanae nagatsuki | 长月早苗 |  |  |
| takeru aizawa | 相泽武 |  |  |
| kiyomi sakura | 纱仓清美 |  |  |
| nagisa saitou | 齐藤渚 |  |  |
|  | ▼ VOCALOID & VOICEROID 角色 |  |  |
| miku hatsune | 初音未来 |  |  |
| luka megurine | 巡音流歌 |  |  |
| len kagamine | 镜音连 |  |  |
| rin kagamine | 镜音铃 |  |  |
| haku yowane | 弱音白 |  |  |
| gumi | GUMI |  |  |
| akari kizuna | 绁星灯 |  |  |
| yukari yuzuki | 结月缘 |  |  |
| maki tsurumaki | 弦卷真纪 |  |  |
| akane kotonoha | 琴叶茜 |  |  |
| aoi kotonoha | 琴叶葵 |  |  |
| zunko tohoku | 东北俊子 |  |  |
|  | ▼ CeVIO 角色 |  |  |
| tsudumi suzuki | 铃木梓梓弥 |  |  |
|  | ▼ 樱花庄的宠物女孩 角色 |  |  |
| sorata kanda | 神田空太 |  |  |
| mashiro shiina | 椎名真白 |  |  |
| nanami aoyama | 青山七海 |  |  |
| misaki kamiigusa | 上井草美咲 |  |  |
| chihiro sengoku | 千石千寻 |  |  |
|  | ▼ 龙与虎 角色 |  |  |
| ryuuji takasu | 高须龙儿 |  |  |
| taiga aisaka | 逢坂大河 |  |  |
| minori kushieda | 栉枝实乃梨 |  |  |
| ami kawashima | 川岛亚美 |  |  |
| yasuko takasu | 高须泰子 |  |  |
| maya kihara | 木原麻耶 |  |  |
| nanako kashii | 香椎奈奈子 |  |  |
| yuri koigakubo | 恋洼百合 |  |  |
| yuusaku kitamura | 北村佑作 |  |  |
| sakura kanou | 狩野樱 |  |  |
| sumire kanou | 狩野堇 |  |  |
|  | ▼ 就算是哥哥，有爱就没问题了，对吧 角色 |  |  |
| akito himenokouji | 姬小路秋人 |  |  |
| akiko himenokouji | 姬小路秋子 |  |  |
| anastasia nasuhara | 那须原安娜史塔希亚 |  |  |
| ginbei haruomi sawatari | 猿渡银兵卫春臣 |  |  |
| arashi nikaidou | 二阶堂岚 |  |  |
| arisa takanomiya | 鹰乃宫亚里沙 |  |  |
|  | ▼ 约会大作战 角色 |  |  |
| origami tobiichi | 鸢一折纸 |  |  |
| kurumi tokisaki | 时崎狂三 |  |  |
| yoshino | 四糸乃 |  |  |
| kotori itsuka | 五河琴里 |  |  |
| kaguya yamai | 八舞耶俱矢 |  |  |
| yuzuru yamai | 八舞夕弦 |  |  |
| miku izayoi | 诱宵美九 |  |  |
| tohka yatogami | 夜刀神十香 |  |  |
| shido itsuka | 五河士道 |  |  |
| reine murasame | 村雨令音 |  |  |
|  | ▼ 腹黑妹妹控兄记 角色 |  |  |
| mayuka kondou | 近藤茧佳 |  |  |
| nao takanashi | 高梨奈绪 |  |  |
| iroha tsuchiura | 土浦彩叶 |  |  |
|  | ▼ 潜行吧 奈亚子 |  |  |
| nyaruko | 奈亚子 |  |  |
| cthugha | 克图格亚 |  |  |
| mahiro yasaka | 八坂真寻 |  |  |
| hastur | 哈斯太 |  |  |
|  | ▼ 其中一个是妹妹 |  |  |
| konoe tsuruma | 鹤真心乃枝 |  |  |
| miyabi kannagi | 神凪雅 |  |  |
|  | ▼ 心灵链环 |  |  |
| himeko inaba | 稻叶姬子 |  |  |
| iori nagase | 永濑伊织 |  |  |
| taichi yaegashi | 八重㭴太一 |  |  |
| yui kiriyama | 桐山唯 |  |  |
| yoshifumi aoki | 青木义文 |  |  |
|  | ▼ 伪恋 |  |  |
| raku ichijou | 一条乐 |  |  |
| kosaki onodera | 小野寺小咲 |  |  |
| haru onodera | 小野寺春 |  |  |
| yui kanakura | 奏仓羽 |  |  |
| marika tachibana | 橘万里花 |  |  |
| chitoge kirisaki | 桐崎千棘 |  |  |
| seishirou tsugumi | 鸫诚士郎 |  |  |
| ruri miyamoto | 宫本琉璃 |  |  |
|  | ▼ 迷途猫 |  |  |
| fumino serizawa | 芹泽文乃 | ![](# "https://ehgt.org/9e/3b/9e3b863ee641b45a17d6f5a804797d64ce1263fb-95205-200-500-jpg_l.jpg") |  |
| nozomi kiriya | 雾谷希 | ![](# "https://ehgt.org/83/d6/83d67c9915128646875787c25d7f660402f92c5e-86833-200-500-jpg_l.jpg") |  |
| chise umenomori | 梅之森千世 | ![](# "https://ehgt.org/eb/47/eb479f9101fa9a9ac4387fe5aef94332291ee73f-92158-200-500-jpg_l.jpg") |  |
| otome tsuzuki | 都筑乙女 | ![](# "https://ehgt.org/45/87/45872d9bf03632f4587a7f1e98ffeca6e1b7dad1-77557-200-500-jpg_l.jpg") |  |
|  | ▼ 魔禁/超炮 |  |  |
| touma kamijou | 上条当麻 |  |  |
| mikoto misaka | 御坂美琴 |  |  |
| misuzu misaka | 御坂美铃 |  |  |
| aisa himegami | 姬神秋沙 |  |  |
| mii konori | 固法美伟 |  |  |
| seiri fukiyose | 吹寄制理 |  |  |
| kaori kanzaki | 神裂火织 |  |  |
| komoe tsukuyomi | 月咏小萌 |  |  |
| misaka-imouto | 御坂妹妹 |  |  |
| last order | 最后之作 |  |  |
| index librorum prohibitorum | 茵蒂克丝 |  |  |
| kuroko shirai | 白井黑子 |  |  |
| misaki shokuhou | 食蜂操祈 |  |  |
| mitsuko kongou | 婚后光子 |  |  |
| kinuho wannai | 湾内绢保 |  |  |
| maaya awatsuki | 泡浮万彬 |  |  |
| aiho yomikawa | 黄泉川爱穗 |  |  |
| tsuzuri tessou | 铁装缀里 |  |  |
| maika tsuchimikado | 土御门舞夏 |  |  |
| erii haruue | 春上衿衣 |  |  |
| ruiko saten | 佐天泪子 |  |  |
| kazari uiharu | 初春饰利 |  |  |
| accelerator | 一方通行 |  |  |
| oriana thomson | 欧莉安娜·汤姆森 |  |  |
| shizuri mugino | 麦野沉利 |  |  |
| rikou takitsubo | 泷壶理后 |  |  |
| saiai kinuhata | 绢旗最爱 |  |  |
| frenda seivelun | 芙兰达·塞维伦 |  |  |
| shiage hamazura | 滨面仕上 |  |  |
| hyouka kazakiri | 风斩冰华 |  |  |
| harumi kiyama | 木山春生 |  |  |
| motoharu tsuchimikado | 土御门元春 |  |  |
| itsuwa | 五和 |  |  |
